language,review_count,mean_rating,median_review_length
en,469,6.850746268656716,263.0
es,16,7.0625,336.5
pt,13,8.461538461538462,233.0
it,7,8.857142857142858,492.0
de,6,6.5,140.0
ru,5,8.6,1029.0
fr,4,9.0,131.5
pl,2,6.5,121.0
unknown,2,9.5,1604.0
id,1,10.0,101.0
nl,1,10.0,81.0
tr,1,4.0,179.0
