rating,date,review,reviewer,raw_review,normalized_review,cleaned_review,review_length,word_count,review_length_log1p,is_long_review,year,month,day,weekday,hour,is_weekend,time_period,is_positive,is_negative,rating_centered,site,text_svd_01,text_svd_02,text_svd_03,text_svd_04,text_svd_05,text_svd_06,text_svd_07,text_svd_08,text_svd_09,text_svd_10,tfidf_nonzero_count
10,2022-12-14 09:35:00,알바인지 관종인지 모르겠지만지금 평 다는 애들은 뇌가 비었다는것 만큼은 잘 알겠네요.(조조로 봐도 아직 영화 중반도 안갔음),over****,알바인지 관종인지 모르겠지만지금 평 다는 애들은 뇌가 비었다는것 만큼은 잘 알겠네요.(조조로 봐도 아직 영화 중반도 안갔음),알바인지 관종인지 모르겠지만지금 평 다는 애들은 뇌가 비었다는것 만큼은 잘 알겠네요.(조조로 봐도 아직 영화 중반도 안갔음),알바인지 관종인지 모르겠지만지금 평 다는 애들은 뇌가 비었다는것 만큼은 잘 알겠네요 조조로 봐도 아직 영화 중반도 안갔음,69,17,4.248495242049359,0,2022,12,14,Wednesday,9,0,morning,1,0,1.1059999999999999,naver,0.3769606860413039,-0.26808269628453696,-0.04797995084769642,-0.18100342637372804,-0.05929480265092942,-0.050779265602493524,0.029141937689231966,-0.03293312995492941,-0.014695524058665083,-0.05539271077489577,2
10,2022-12-14 09:23:00,3시간짜리 인데 본것마냥 벌써 댓글 다는건 뭔데ㅋㅋㅋㅋ,dbtk****,3시간짜리 인데 본것마냥 벌써 댓글 다는건 뭔데ㅋㅋㅋㅋ,3시간짜리 인데 본것마냥 벌써 댓글 다는건 뭔데ᄏᄏᄏᄏ,3시간짜리 인데 본것마냥 벌써 댓글 다는건 뭔데ᄏᄏᄏᄏ,30,7,3.4339872044851463,0,2022,12,14,Wednesday,9,0,morning,1,0,1.1059999999999999,naver,0.004821685977599764,-0.0012940464008932913,-0.0013271819748831575,-0.0018588682281138356,0.0026304252832318547,0.006162685000913628,0.0027260549728265063,5.179837470037063e-05,-0.00228701335714633,-0.0005300170400382249,1
10,2022-12-15 09:15:00,살면서 영화관에서 본 영화중에 가장 돈값함,skym****,살면서 영화관에서 본 영화중에 가장 돈값함,살면서 영화관에서 본 영화중에 가장 돈값함,살면서 영화관에서 본 영화중에 가장 돈값함,23,6,3.1780538303479458,0,2022,12,15,Thursday,9,0,morning,1,0,1.1059999999999999,naver,0.06906351875379338,-0.02081393103366902,-0.02218226686964992,-0.06145190056255003,-0.023417844268838854,0.11604019279614931,-0.11080996785037488,0.03296599033929008,0.06538589362126468,0.08939276171976296,3
10,2022-12-14 11:25:00,지금 보고 나오는데 진짜 3시간 동안 감탄만 나옴현대 기술력이 이정도까지 왔구나 싶고 3시간이 짧게 느껴짐역대급 영화라는 말이 맞을듯,dspy****,지금 보고 나오는데 진짜 3시간 동안 감탄만 나옴현대 기술력이 이정도까지 왔구나 싶고 3시간이 짧게 느껴짐역대급 영화라는 말이 맞을듯,지금 보고 나오는데 진짜 3시간 동안 감탄만 나옴현대 기술력이 이정도까지 왔구나 싶고 3시간이 짧게 느껴짐역대급 영화라는 말이 맞을듯,지금 보고 나오는데 진짜 3시간 동안 감탄만 나옴현대 기술력이 이정도까지 왔구나 싶고 3시간이 짧게 느껴짐역대급 영화라는 말이 맞을듯,74,18,4.31748811353631,0,2022,12,14,Wednesday,11,0,morning,1,0,1.1059999999999999,naver,0.09431198112308802,0.07386437504012572,0.009997187447293767,0.0040639496010241635,0.021527733794145278,0.2178371417967024,0.006994045026491148,0.04733962380780521,-0.08918923557835909,0.08580649627870172,12
10,2022-12-14 11:25:00,이 영화에 재미라는 단어는 어울리지 않는다.이 영화는 놀랍고 환상적이며 지능적이고 따뜻한 영화다.,bizk****,이 영화에 재미라는 단어는 어울리지 않는다.이 영화는 놀랍고 환상적이며 지능적이고 따뜻한 영화다.,이 영화에 재미라는 단어는 어울리지 않는다.이 영화는 놀랍고 환상적이며 지능적이고 따뜻한 영화다.,이 영화에 재미라는 단어는 어울리지 않는다 이 영화는 놀랍고 환상적이며 지능적이고 따뜻한 영화다,54,13,4.007333185232471,0,2022,12,14,Wednesday,11,0,morning,1,0,1.1059999999999999,naver,0.028198498395470527,0.02340038991191147,-0.005781597711684515,-0.006515709019230352,-0.005626462971850553,0.05826940385383127,-0.02043200891449658,0.024433346831255948,-0.05627606351636112,0.011759274009999881,4
10,2022-12-14 10:46:00,아지메들 부업으로 평점 깍기 알바하냐ㅋㅋ,oh1y****,아지메들 부업으로 평점 깍기 알바하냐ㅋㅋ,아지메들 부업으로 평점 깍기 알바하냐ᄏᄏ,아지메들 부업으로 평점 깍기 알바하냐ᄏᄏ,22,5,3.1354942159291497,0,2022,12,14,Wednesday,10,0,morning,1,0,1.1059999999999999,naver,0.005566542745914124,0.00642405915804576,-0.005010783564565105,-0.004663209849650076,0.00014768822777845673,0.002820790212890844,-0.006296678220933228,0.004120850636190069,-0.0068100408699609165,0.015177787756999996,1
10,2022-12-14 11:25:00,제임스 카메론 감독과 같은 시대에 살고 있는건 어찌보면 행운이다 항상 몸건강하시고 오래오래 사세요 감사합니다 ㅎ,mone****,제임스 카메론 감독과 같은 시대에 살고 있는건 어찌보면 행운이다 항상 몸건강하시고 오래오래 사세요 감사합니다 ㅎ,제임스 카메론 감독과 같은 시대에 살고 있는건 어찌보면 행운이다 항상 몸건강하시고 오래오래 사세요 감사합니다 ᄒ,제임스 카메론 감독과 같은 시대에 살고 있는건 어찌보면 행운이다 항상 몸건강하시고 오래오래 사세요 감사합니다 ᄒ,62,15,4.143134726391533,0,2022,12,14,Wednesday,11,0,morning,1,0,1.1059999999999999,naver,0.052212668272200204,-0.01392766707143424,0.003968529784308879,-0.02800992013130375,-0.004224182848038748,0.057209083793818435,0.022383114101038992,-0.07352844706593571,-0.0600167325405551,0.028619047460980745,4
10,2022-12-14 10:45:00,아니 별테하지말라고....재밌다고 하면서 별점 ㅂㅅ같이 남기는 사람들은 뭐냐 그리고 여성분들 왜 이렇게 비만죽임?  영화는 영화라고 생각하고..,eyes****,아니 별테하지말라고....재밌다고 하면서 별점 ㅂㅅ같이 남기는 사람들은 뭐냐 그리고 여성분들 왜 이렇게 비만죽임?  영화는 영화라고 생각하고..,아니 별테하지말라고....재밌다고 하면서 별점 ᄇᄉ같이 남기는 사람들은 뭐냐 그리고 여성분들 왜 이렇게 비만죽임? 영화는 영화라고 생각하고..,아니 별테하지말라고 재밌다고 하면서 별점 ᄇᄉ같이 남기는 사람들은 뭐냐 그리고 여성분들 왜 이렇게 비만죽임 영화는 영화라고 생각하고,79,17,4.382026634673881,0,2022,12,14,Wednesday,10,0,morning,1,0,1.1059999999999999,naver,0.04154770752381792,0.032775994332845226,0.01030576854965116,-0.009058016889744554,0.005051118041842591,0.07328331294219481,-0.01602834054190194,0.04028648686484566,-0.08382492266457113,0.04079190479004396,7
8,2022-12-14 20:31:00,"또 한 번의 영상 혁명과 기술적 진보, 서사는 답습과 퇴보.",nimu****,"또 한 번의 영상 혁명과 기술적 진보, 서사는 답습과 퇴보.","또 한 번의 영상 혁명과 기술적 진보, 서사는 답습과 퇴보.",또 한 번의 영상 혁명과 기술적 진보 서사는 답습과 퇴보,33,10,3.5263605246161616,0,2022,12,14,Wednesday,20,0,evening,1,0,-0.8940000000000001,naver,0.004513689056460646,0.008954089453837128,-0.0023980586682330793,-0.00042674421721511173,0.00012076169388636783,-0.002253348772586983,0.03447074425918091,0.011416931357814363,0.025915828961091687,0.03501191212143842,2
10,2022-12-14 11:22:00,단순히 보는걸로 끝이 아니라 직접 체험을 하게 되었습니다 올해 이 영화로 마무리 할수 있게 되어서 감사합니다,wnsd****,단순히 보는걸로 끝이 아니라 직접 체험을 하게 되었습니다 올해 이 영화로 마무리 할수 있게 되어서 감사합니다,단순히 보는걸로 끝이 아니라 직접 체험을 하게 되었습니다 올해 이 영화로 마무리 할수 있게 되어서 감사합니다,단순히 보는걸로 끝이 아니라 직접 체험을 하게 되었습니다 올해 이 영화로 마무리 할수 있게 되어서 감사합니다,60,16,4.110873864173311,0,2022,12,14,Wednesday,11,0,morning,1,0,1.1059999999999999,naver,0.020152736711981915,-0.0044560155521182355,-0.002188053004655231,-0.011960163574714137,0.0038971701695121796,0.027905932227705897,0.0010400668786518228,-0.002671083450742307,-0.021798015821510468,0.016749749719211383,9
