rating,date,review,normalized_review,cleaned_review,is_text_duplicate,language,language_confidence,review_length,word_count,emoji_count,exclamation_count,question_count,uppercase_ratio,is_long_review,review_length_log1p,review_length_capped,year,month,day,weekday,is_weekend,is_positive,is_negative,rating_centered,site,text_svd_01,text_svd_02,text_svd_03,text_svd_04,text_svd_05,text_svd_06,text_svd_07,text_svd_08,text_svd_09,text_svd_10,text_svd_11,text_svd_12,text_svd_13,text_svd_14,text_svd_15,text_svd_16,text_svd_17,text_svd_18,text_svd_19,text_svd_20
3.0,2026-07-14,"Visualmente una obra de arte, por lo demás genérica","Visualmente una obra de arte, por lo demás genérica",visualmente una obra de arte por lo demás genérica,0,es,0.9999955984354268,51,9,0,0,0,0.023809523809523808,0,3.9512437185814275,51,2026,7,14,Tuesday,0,0,0,-0.99163179916318,letterboxd,0.15560855560396541,-0.18905915549242328,-0.09817215329818903,-0.03238579788175865,0.07526776519717229,0.04519504744149048,0.05557693902957481,-0.035116959274144384,-0.05458174380026421,-0.03473462329733406,0.02271054636331802,-0.06073090046523349,0.003202784465592974,0.016515276458446585,0.21977580492868515,-0.15803254556116336,0.05496017516071622,0.12936997478924486,-0.04310205325198769,0.008756772579067769
3.0,2026-07-14,Payakan is the whale in whalien 52,Payakan is the whale in whalien 52,payakan is the whale in whalien 52,0,en,0.9999967999618293,34,7,0,0,0,0.038461538461538464,0,3.5553480614894135,34,2026,7,14,Tuesday,0,0,0,-0.99163179916318,letterboxd,0.19595658950814146,0.066448071893715,-0.00481409926510983,-0.06760017340851013,-0.0403895829952576,-0.010346256463212772,0.018803862771352146,-0.03290951845470625,-0.03030130916725168,-0.01616032566133217,0.11311388420858647,-0.05424436150743728,0.058446759660985635,-0.11754920772277025,0.057710886237157165,0.11693183624611814,0.020411932796671004,0.03780329791970589,-0.10355965969459853,0.03925176622962762
3.0,2026-07-14,C cool à regarder mais la tête des avatars elle fait trop peur,C cool à regarder mais la tête des avatars elle fait trop peur,c cool à regarder mais la tête des avatars elle fait trop peur,0,fr,0.9999966675238254,62,13,0,0,0,0.02,0,4.143134726391533,62,2026,7,14,Tuesday,0,0,0,-0.99163179916318,letterboxd,0.2146335788793531,-0.142031476412959,-0.1110033310671392,0.2923192598761318,-0.16121601717149353,0.11378652201821854,-0.009370822881673796,-0.042037250964551603,-0.13090960915585945,0.11396801124303933,-0.005653255038197725,0.03671893326251459,-0.024188767014910694,-0.03080487670666274,0.0337186053862555,0.16338594042714158,0.1245062611967436,-0.012154544460132253,0.08475116711572157,-0.05793354507957525
5.0,2025-04-01,MEU FILME FAVORITO,MEU FILME FAVORITO,meu filme favorito,0,de,0.9999944769610558,18,3,0,0,0,1.0,0,2.9444389791664403,18,2025,4,1,Tuesday,0,1,0,1.00836820083682,letterboxd,0.136751458504321,-0.1638889318080764,-0.10046978174112073,0.1451198068079927,0.040703643572998105,-0.08330420407788314,-0.16154471157300346,0.12296264207139299,0.15713983163458564,-0.1617768961440799,-0.01875971925675369,-0.04561778222241213,0.005379323263038459,-0.09008795495586878,-0.09555004634479972,-0.11203462639310435,0.12187024668034178,0.12697944670088535,0.19794038067597353,-0.07581312335404676
2.0,2026-07-14,Genuinely slop bro this movie is so hard to watch and it being 3 hours doesnt help either,Genuinely slop bro this movie is so hard to watch and it being 3 hours doesnt help either,genuinely slop bro this movie is so hard to watch and it being 3 hours doesnt help either,0,en,0.9999975093342601,89,18,0,0,0,0.014084507042253521,0,4.499809670330265,89,2026,7,14,Tuesday,0,0,1,-1.99163179916318,letterboxd,0.3853021741433179,0.20119400521054354,0.0015617553338785168,0.06501089043802227,0.14010904260620888,-0.16726580905266586,0.12497215006656186,0.1345165924153282,-0.058801734198609845,0.04374243028606951,0.02224504157317807,0.06635619830681254,-0.091602898774715,0.02492550386707065,-0.10458792076708279,0.044564555705071084,-0.14664021938116767,-0.15182920233950228,0.07084881961009376,0.02195017736641676
5.0,2026-07-14,"que filme lindo, mds spider pau no cu odeio ele pqp","que filme lindo, mds spider pau no cu odeio ele pqp",que filme lindo mds spider pau no cu odeio ele pqp,0,pt,0.8571397198377556,51,11,0,0,0,0.0,0,3.9512437185814275,51,2026,7,14,Tuesday,0,1,0,1.00836820083682,letterboxd,0.17919995677737344,-0.27662689475975005,-0.11987537169979594,-0.049269528828702204,0.030276727304093917,-0.0309539768118221,-0.13143607610165456,0.15790177929696514,0.13086563818243122,-0.06127619995518225,-0.0115101167269665,-0.07687328473328549,-0.03295366945242131,-0.09141620947157965,-0.060194819606535964,0.14861082094909497,0.16721251625296107,0.0184536802622134,-0.1082584473561049,0.27364329491930967
4.0,2026-07-14,Ay ben 1i hiç beğenmemekle beraber 2yi çok beğendim sinemaya gidip izlemiştim ve animasyonu çok hoşuma gitti cıvıl cıvıldı,Ay ben 1i hiç beğenmemekle beraber 2yi çok beğendim sinemaya gidip izlemiştim ve animasyonu çok hoşuma gitti cıvıl cıvıldı,ay ben 1i hiç beğenmemekle beraber 2yi çok beğendim sinemaya gidip izlemiştim ve animasyonu çok hoşuma gitti cıvıl cıvıldı,0,tr,0.9999982685518155,122,19,0,0,0,0.00980392156862745,0,4.812184355372417,122,2026,7,14,Tuesday,0,1,0,0.008368200836819994,letterboxd,0.13154391102363702,-0.07160219185936643,-0.0230781656243458,-0.024326394255276194,0.0001377253340082215,0.02658839063003124,-0.002498440736591754,0.032501531073532895,-0.01587599619446614,-0.06263102939184917,0.057474253464945994,0.09335223452726223,0.16206112054268051,0.07275383001071108,-0.07206590799895658,0.037586930449906165,-0.029096941695769898,0.0070943169215949104,-0.011985339901052307,0.10178175725794403
1.0,2026-07-14,1 star only bc bailey bass hot asf,1 star only bc bailey bass hot asf,1 star only bc bailey bass hot asf,0,en,0.9999973006877421,34,8,0,0,0,0.0,0,3.5553480614894135,34,2026,7,14,Tuesday,0,0,1,-2.99163179916318,letterboxd,0.13178359408483686,-0.0025814212160603276,-0.015014421403330916,0.09043937476796006,-0.11787347596685133,0.052173914554858564,-0.022596473861700012,-0.05615940065152636,-0.053968743758393646,-0.06712026147737037,-0.07731255705212417,-0.013723278795357084,0.00468870984231667,-0.029411842939585923,0.06080540317943407,0.020328256219352484,-0.04130696096922006,0.11755174197917818,-0.03619342851571939,-0.019457433815388257
4.0,2026-07-14,how could you kill him james how could you….,how could you kill him james how could you....,how could you kill him james how could you,0,en,0.8571419474402376,46,9,0,0,0,0.0,0,3.8501476017100584,46,2026,7,14,Tuesday,0,1,0,0.008368200836819994,letterboxd,0.1332853586653145,-0.01552950348588799,0.023047258374987084,-0.10344684630144917,-0.0783848526553337,0.19601227699705726,0.17701971041405543,0.12206665673293772,0.1614960171693414,-0.012525066649910578,-0.03637927025886654,-0.02906600810210427,-0.11850278388258828,-0.06686836034225811,-0.012705591227325445,0.05866823234016987,0.005793431422237067,-0.024698035796371233,-0.09126750626516107,0.001319281080659195
5.0,2026-07-14,"Misma historia, pero es un masterpiece.","Misma historia, pero es un masterpiece.",misma historia pero es un masterpiece,0,es,0.9999955546671191,39,6,0,0,0,0.03125,0,3.6888794541139363,39,2026,7,14,Tuesday,0,1,0,1.00836820083682,letterboxd,0.12445179026627388,-0.14811571188649764,-0.06386955996510002,-0.025742758831556512,0.025856406514292378,0.014348678139389871,0.06920509047948055,-0.024609830949913612,-0.058733385073530375,0.025559995090494437,0.00878892623080025,0.03962748168820325,-0.0026171168172865796,0.034983944657347256,-0.008483690647644227,-0.006584550267946833,-0.0041773507487726895,0.027204713149256796,0.07832870180728707,-0.041428122176105246
